                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 2.5001,                 4.7288,                 2.5226,                      0,                      0,                      0,                      0,                  2.944,                 5.8083,                 2.8853,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.8606,                 4.8453,                 2.6613,                      0,                      0,                      0,                      0,                  2.944,                 5.8083,                 2.8853,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 2.7674,                 4.8322,                 2.7787,                      0,                      0,                      0,                      0,                  2.944,                 5.8083,                 2.8853,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 2.5337,                 4.6255,                 2.5413,                      0,                      0,                      0,                      0,                 2.9236,                 5.8327,                 2.8711,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 2.5629,                 4.6322,                 2.6551,                      0,                      0,                      0,                      0,                 2.9236,                 5.8327,                 2.8711,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 2.4518,                 4.6914,                 2.5202,                      0,                      0,                      0,                      0,                 2.9236,                 5.8327,                 2.8711,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.6435,                 4.7755,                  2.623,                      0,                      0,                      0,                      0,                 2.9102,                 5.8462,                 2.8466,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 2.9099,                   4.63,                 2.7732,                      0,                      0,                      0,                      0,                 2.9102,                 5.8462,                 2.8466,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 2.7501,                 4.6521,                  2.613,                      0,                      0,                      0,                      0,                 2.9102,                 5.8462,                 2.8466,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.4768,                 4.5219,                 2.4351,                      0,                      0,                      0,                      0,                 2.8951,                 5.8522,                 2.8289,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 2.4414,                 4.6375,                 2.4889,                      0,                      0,                      0,                      0,                 2.8951,                 5.8522,                 2.8289,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 2.7022,                   4.77,                 2.7212,                      0,                      0,                      0,                      0,                 2.8951,                 5.8522,                 2.8289,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.5412,                  4.822,                 2.5114,                      0,                      0,                      0,                      0,                 2.8769,                 5.8507,                 2.8155,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 2.4849,                 4.4594,                 2.5267,                      0,                      0,                      0,                      0,                 2.8769,                 5.8507,                 2.8155,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 2.4793,                 4.8462,                 2.5402,                      0,                      0,                      0,                      0,                 2.8769,                 5.8507,                 2.8155,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 2.6971,                 4.7281,                 2.5603,                      0,                      0,                      0,                      0,                 2.8769,                 5.8507,                 2.8155,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.5159,                 4.6095,                 2.7038,                      0,                      0,                      0,                      0,                 2.8805,                 5.8472,                 2.8013,              1.436e-05,              1.436e-05,              1.436e-05
